player_faction,player_subfaction,opponent_faction,opponent_subfaction,result,points,rounds,ruleset,players
w_chaos,grand_army,wood_elves,grand_army,0.0,2000,3,v1.1,12
tomb_kings,grand_army,high_elves,grand_army,1.0,2000,3,v1.1,12
bretonnia,exiles,dwarves,grand_army,0.0,2000,3,v1.1,12
ogres,grand_army,dwarves,grand_army,1.0,2000,3,v1.1,12
wood_elves,grand_army,tomb_kings,grand_army,1.0,2000,3,v1.1,12
w_chaos,grand_army,tomb_kings,grand_army,0.0,2000,3,v1.1,12
dwarves,grand_army,w_chaos,grand_army,1.0,2000,3,v1.1,12
wood_elves,grand_army,tomb_kings,grand_army,0.0,2000,3,v1.1,12
ogres,grand_army,high_elves,grand_army,0.0,2000,3,v1.1,12
bretonnia,grand_army,vampire_counts,grand_army,0.0,1999,3,v1.1,6
bretonnia,errantry_crusade,o_and_g,grand_army,1.0,1999,3,v1.1,6
wood_elves,grand_army,o_and_g,grand_army,0.0,1999,3,v1.1,6
bretonnia,grand_army,wood_elves,grand_army,0.0,1999,3,v1.1,6
bretonnia,errantry_crusade,o_and_g,grand_army,1.0,1999,3,v1.1,6
vampire_counts,grand_army,dwarves,grand_army,1.0,1999,3,v1.1,6
o_and_g,grand_army,bretonnia,grand_army,1.0,1999,3,v1.1,6
o_and_g,grand_army,dwarves,grand_army,1.0,1999,3,v1.1,6
bretonnia,errantry_crusade,vampire_counts,grand_army,1.0,1999,3,v1.1,6
empire,grand_army,o_and_g,grand_army,0.0,1250,3,v1.1,14
empire,grand_army,vampire_counts,grand_army,0.0,1250,3,v1.1,14
empire,grand_army,high_elves,grand_army,0.5,1250,3,v1.1,14
bretonnia,grand_army,tomb_kings,grand_army,0.0,1250,3,v1.1,14
empire,grand_army,bretonnia,grand_army,1.0,1250,3,v1.1,14
vampire_counts,grand_army,tomb_kings,grand_army,0.0,1250,3,v1.1,14
dwarves,grand_army,w_chaos,grand_army,0.0,1250,3,v1.1,14
o_and_g,grand_army,dwarves,grand_army,0.0,1250,3,v1.1,14
high_elves,grand_army,dwarves,grand_army,1.0,1250,3,v1.1,14
empire,grand_army,bretonnia,grand_army,1.0,1250,3,v1.1,14
tomb_kings,grand_army,w_chaos,grand_army,1.0,1250,3,v1.1,14
bretonnia,grand_army,chaos_dwarves,grand_army,1.0,1250,3,v1.1,22
tomb_kings,grand_army,w_chaos,grand_army,1.0,1250,3,v1.1,22
dwarves,grand_army,o_and_g,grand_army,1.0,1250,3,v1.1,22
beastmen,grand_army,chaos_dwarves,grand_army,1.0,1250,3,v1.1,22
beastmen,grand_army,empire,grand_army,1.0,1250,3,v1.1,22
ogres,grand_army,o_and_g,grand_army,1.0,1250,3,v1.1,22
skaven,grand_army,tomb_kings,royal_host,0.0,1250,3,v1.1,22
o_and_g,grand_army,lizardmen,grand_army,0.0,1250,3,v1.1,22
tomb_kings,grand_army,vampire_counts,grand_army,1.0,1250,3,v1.1,22
o_and_g,grand_army,ogres,grand_army,0.5,1250,3,v1.1,22
skaven,grand_army,o_and_g,grand_army,1.0,1250,3,v1.1,22
vampire_counts,grand_army,o_and_g,grand_army,0.0,1250,3,v1.1,22
beastmen,grand_army,ogres,grand_army,1.0,1250,3,v1.1,22
w_chaos,grand_army,o_and_g,grand_army,0.5,1250,3,v1.1,22
ogres,grand_army,w_chaos,grand_army,0.5,1250,3,v1.1,22
chaos_dwarves,grand_army,empire,grand_army,1.0,1250,3,v1.1,22
tomb_kings,grand_army,dwarves,grand_army,0.0,1250,3,v1.1,22
tomb_kings,grand_army,beastmen,grand_army,1.0,1250,3,v1.1,22
tomb_kings,royal_host,lizardmen,grand_army,0.0,1250,3,v1.1,22
o_and_g,grand_army,w_chaos,grand_army,0.0,1250,3,v1.1,22
o_and_g,grand_army,vampire_counts,grand_army,0.0,1250,3,v1.1,22
o_and_g,grand_army,empire,grand_army,0.0,1250,3,v1.1,22
w_chaos,grand_army,o_and_g,grand_army,1.0,1250,3,v1.1,22
tomb_kings,grand_army,ogres,grand_army,0.5,1250,3,v1.1,22
ogres,grand_army,beastmen,grand_army,0.0,1250,3,v1.1,22
chaos_dwarves,grand_army,skaven,grand_army,1.0,1250,3,v1.1,22
